English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Taxonomic Sort Order _Ordre de tri taxonomique,Species Occurrence in Canada _Occurrence de l'espèce au Canada,Approx % population change (base year-2016)_Variation approx en % de la population (année de base-2016),Population change category_ Catégorie de la variation de la population ,Data Source _Source de données,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,"Seabirds (includes all 58 seabird species - all species other than those with the data source indicating ""No acceptable data for indicator"" are included in the Canadian Nesting Seabirds indicator) _Oiseaux de mer (comprend les 58 espèces d'oiseaux de mer - toutes les espèces sauf celles qui ont comme source de données « Aucune donnée acceptable pour l'indicateur » sont incluses dans l'indicateur des oiseaux de mer nichant au Canada)",Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Snow Goose,Oie des neiges,Anser caerulescens,12,Regular Breeder_Espèce qui niche régulièrement,908,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Ross's Goose,Oie de Ross,Anser rossii,13,Regular Breeder_Espèce qui niche régulièrement,1560,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Greater White-fronted Goose,Oie rieuse,Anser albifrons,15,Regular Breeder_Espèce qui niche régulièrement,514,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Brant,Bernache cravant,Branta bernicla,20,Regular Breeder_Espèce qui niche régulièrement,-44.2,Decreasing_Diminution,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Cackling Goose,Bernache de Hutchins,Branta hutchinsii,22,Regular Breeder_Espèce qui niche régulièrement,905,Increasing_Augmentation,Lincoln Estimators_Estimateurs de Lincoln,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Canada Goose,Bernache du Canada,Branta canadensis,23,Regular Breeder_Espèce qui niche régulièrement,82.6,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,
Mute Swan,Cygne tuberculé,Cygnus olor,25,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
Trumpeter Swan,Cygne trompette,Cygnus buccinator,26,Regular Breeder_Espèce qui niche régulièrement,17900,Increasing_Augmentation,TRSW Survey_Relevé du CYTR,Included_Inclus,,Included_Inclus,,,,,,,,,,,,,,,,,,
Tundra Swan,Cygne siffleur,Cygnus columbianus,27,Regular Breeder_Espèce qui niche régulièrement,17.4,Stable_Stables,Winter Waterfowl_Sauvagine en hiver,Included_Inclus,,Included_Inclus,,,,,,,,,,,,,,,,,,
Wood Duck,Canard branchu,Aix sponsa,34,Regular Breeder_Espèce qui niche régulièrement,474,Increasing_Augmentation,Southern ON_Sud de l'Ontario,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,37,Regular Breeder_Espèce qui niche régulièrement,85.4,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,38,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Northern Shoveler,Canard souchet,Spatula clypeata,39,Regular Breeder_Espèce qui niche régulièrement,111,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Gadwall,Canard chipeau,Mareca strepera,40,Regular Breeder_Espèce qui niche régulièrement,141,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Eurasian Wigeon,Canard siffleur,Mareca penelope,42,Regular Non-breeder_Espèce non-reproductrice avec présence régulière,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
American Wigeon,Canard d'Amérique,Mareca americana,43,Regular Breeder_Espèce qui niche régulièrement,4.34,Stable_Stables,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Mallard,Canard colvert,Anas platyrhynchos,47,Regular Breeder_Espèce qui niche régulièrement,31.8,Stable_Stables,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
American Black Duck,Canard noir,Anas rubripes,48,Regular Breeder_Espèce qui niche régulièrement,-0.308,Stable_Stables,EWS - Combined_RARS - combiné,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Northern Pintail,Canard pilet,Anas acuta,51,Regular Breeder_Espèce qui niche régulièrement,-45.7,Decreasing_Diminution,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Green-winged Teal,Sarcelle d'hiver,Anas crecca,52,Regular Breeder_Espèce qui niche régulièrement,125,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Canvasback,Fuligule à dos blanc,Aythya valisineria,53,Regular Breeder_Espèce qui niche régulièrement,38.9,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Redhead,Fuligule à tête rouge,Aythya americana,54,Regular Breeder_Espèce qui niche régulièrement,105,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Ring-necked Duck,Fuligule à collier,Aythya collaris,56,Regular Breeder_Espèce qui niche régulièrement,214,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Greater Scaup,Fuligule milouinan,Aythya marila,58,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Lesser Scaup,Petit Fuligule,Aythya affinis,59,Regular Breeder_Espèce qui niche régulièrement,-14.8,Stable_Stables,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
King Eider,Eider à tête grise,Somateria spectabilis,62,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Common Eider,Eider à duvet,Somateria mollissima,63,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,64,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,66,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Labrador Duck,Eider du Labrador,Camptorhynchus labradorius,66,Extinct or Extirpated_Disparue ou disparue du pays,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
White-winged Scoter,Macreuse brune,Melanitta fusca,67,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Black Scoter,Macreuse à bec jaune,Melanitta americana,69,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Long-tailed Duck,Harelde kakawi,Clangula hyemalis,70,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Bufflehead,Petit Garrot,Bucephala albeola,71,Regular Breeder_Espèce qui niche régulièrement,133,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,72,Regular Breeder_Espèce qui niche régulièrement,47.2,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,73,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Hooded Merganser,Harle couronné,Lophodytes cucullatus,75,Regular Breeder_Espèce qui niche régulièrement,94.2,Increasing_Augmentation,EWS - Helicopter_RARS - hélicoptère,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Common Merganser,Grand Harle,Mergus merganser,76,Regular Breeder_Espèce qui niche régulièrement,38,Increasing_Augmentation,EWS - Helicopter_RARS - hélicoptère,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Red-breasted Merganser,Harle huppé,Mergus serrator,77,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Ruddy Duck,Érismature rousse,Oxyura jamaicensis,79,Regular Breeder_Espèce qui niche régulièrement,155,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,
Mountain Quail,Colin des montagnes,Oreortyx pictus,94,Extinct or Extirpated_Disparue ou disparue du pays,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
Northern Bobwhite,Colin de Virginie,Colinus virginianus,98,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
California Quail,Colin de Californie,Callipepla californica,103,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,396,Increasing_Augmentation,BBS,,,,,,,,,,,,,,,,,,,,,
Chukar,Perdrix choukar,Alectoris chukar,113,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,-10.3,Stable_Stables,CBC NA_RON AmN,,,,,,,,,,,,,,,,,,,,,
Gray Partridge,Perdrix grise,Perdix perdix,118,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,13.2,Stable_Stables,BBS,,,,,,,,,,,,,,,,,,,,,
Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,122,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,-19.2,Stable_Stables,BBS,,,,,,,,,,,,,,,,,,,,,
Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,124,Regular Breeder_Espèce qui niche régulièrement,-2.22,Stable_Stables,CBC CA_RON CA,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,125,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Spruce Grouse,Tétras du Canada,Falcipennis canadensis,127,Regular Breeder_Espèce qui niche régulièrement,33.2,Increasing_Augmentation,CBC CA_RON CA,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,128,Regular Breeder_Espèce qui niche régulièrement,-88.9,Decreasing_Diminution,CBC CA_RON CA,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Rock Ptarmigan,Lagopède alpin,Lagopus muta,129,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,130,Regular Breeder_Espèce qui niche régulièrement,-33.9,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Dusky Grouse,Tétras sombre,Dendragapus obscurus,131,Regular Breeder_Espèce qui niche régulièrement,5.23,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,132,Regular Breeder_Espèce qui niche régulièrement,-64.5,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,133,Regular Breeder_Espèce qui niche régulièrement,12.6,Stable_Stables,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,135,Extinct or Extirpated_Disparue ou disparue du pays,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
Wild Turkey,Dindon sauvage,Meleagris gallopavo,136,Regular Breeder_Espèce qui niche régulièrement,6890,Increasing_Augmentation,BBS,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,140,Regular Breeder_Espèce qui niche régulièrement,74.7,Increasing_Augmentation,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Horned Grebe,Grèbe esclavon,Podiceps auritus,142,Regular Breeder_Espèce qui niche régulièrement,17.2,Stable_Stables,CBC NA_RON AmN,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Red-necked Grebe,Grèbe jougris,Podiceps grisegena,143,Regular Breeder_Espèce qui niche régulièrement,55.8,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,144,Regular Breeder_Espèce qui niche régulièrement,16.4,Stable_Stables,CBC NA_RON AmN,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Western Grebe,Grèbe élégant,Aechmophorus occidentalis,145,Regular Breeder_Espèce qui niche régulièrement,38.2,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,146,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Rock Pigeon,Pigeon biset,Columba livia,148,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,39.3,Increasing_Augmentation,BBS,,,,,,,,,,,,,,,,,,,,,
Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,155,Regular Breeder_Espèce qui niche régulièrement,-83.8,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,164,Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
Passenger Pigeon,Tourte voyageuse,Ectopistes migratorius,168,Extinct or Extirpated_Disparue ou disparue du pays,,,No acceptable data available_On ne dispose pas de données acceptables,,,,,,,,,,,,,,,,,,,,,
Mourning Dove,Tourterelle triste,Zenaida macroura,197,Regular Breeder_Espèce qui niche régulièrement,73.2,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,204,Regular Breeder_Espèce qui niche régulièrement,-19.2,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,208,Regular Breeder_Espèce qui niche régulièrement,-27.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,226,Regular Breeder_Espèce qui niche régulièrement,-64.3,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,229,Regular Breeder_Espèce qui niche régulièrement,28.6,Stable_Stables,BBS NA_BBS AmN,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,235,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,241,Regular Breeder_Espèce qui niche régulièrement,-41.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,,,,
Black Swift,Martinet sombre,Cypseloides niger,252,Regular Breeder_Espèce qui niche régulièrement,-86.4,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Chimney Swift,Martinet ramoneur,Chaetura pelagica,259,Regular Breeder_Espèce qui niche régulièrement,-86.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Vaux's Swift,Martinet de Vaux,Chaetura vauxi,260,Regular Breeder_Espèce qui niche régulièrement,-35.4,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,,,,
White-throated Swift,Martinet à gorge blanche,Aeronautes saxatalis,273,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,331,Regular Breeder_Espèce qui niche régulièrement,62.6,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,332,Regular Breeder_Espèce qui niche régulièrement,130,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Anna's Hummingbird,Colibri d'Anna,Calypte anna,335,Regular Breeder_Espèce qui niche régulièrement,160000,Increasing_Augmentation,CBC CA_RON CA,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Rufous Hummingbird,Colibri roux,Selasphorus rufus,340,Regular Breeder_Espèce qui niche régulièrement,-54,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Calliope Hummingbird,Colibri calliope,Selasphorus calliope,345,Regular Breeder_Espèce qui niche régulièrement,92.7,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Yellow Rail,Râle jaune,Coturnicops noveboracensis,400,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
King Rail,Râle élégant,Rallus elegans,411,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Virginia Rail,Râle de Virginie,Rallus limicola,412,Regular Breeder_Espèce qui niche régulièrement,39.5,Increasing_Augmentation,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Sora,Marouette de Caroline,Porzana carolina,418,Regular Breeder_Espèce qui niche régulièrement,30.8,Stable_Stables,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Common Gallinule,Gallinule d'Amérique,Gallinula galeata,430,Regular Breeder_Espèce qui niche régulièrement,-71.3,Decreasing_Diminution,MMP - GL_PSM - GL,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
American Coot,Foulque d'Amérique,Fulica americana,434,Regular Breeder_Espèce qui niche régulièrement,278,Increasing_Augmentation,Western Waterfowl_Sauvagine de l'Ouest,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Sandhill Crane,Grue du Canada,Antigone canadensis,437,Regular Breeder_Espèce qui niche régulièrement,123,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Whooping Crane,Grue blanche,Grus americana,439,Regular Breeder_Espèce qui niche régulièrement,560,Increasing_Augmentation,WHCR Survey_Relevé GRBL,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,442,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,,Included_Inclus,,,,,,,,,,,,,,,,,,,
American Avocet,Avocette d'Amérique,Recurvirostra americana,443,Regular Breeder_Espèce qui niche régulièrement,119,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,445,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,446,Regular Breeder_Espèce qui niche régulièrement,490,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,449,Regular Breeder_Espèce qui niche régulièrement,-47.4,Decreasing_Diminution,Shorebird Surveys_Inventaires Oiseaux de rivage,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
American Golden-Plover,Pluvier bronzé,Pluvialis dominica,451,Regular Breeder_Espèce qui niche régulièrement,-52.5,Decreasing_Diminution,Shorebird Surveys_Inventaires Oiseaux de rivage,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,452,Regular Non-breeder_Espèce non-reproductrice avec présence régulière,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Snowy Plover,Pluvier neigeux,Charadrius nivosus,456,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,458,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,459,Regular Breeder_Espèce qui niche régulièrement,-13,Stable_Stables,Shorebird Surveys_Inventaires Oiseaux de rivage,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Piping Plover,Pluvier siffleur,Charadrius melodus,460,Regular Breeder_Espèce qui niche régulièrement,-31.7,Decreasing_Diminution,PIPL Survey_Relevé du PLSI,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Killdeer,Pluvier kildir,Charadrius vociferus,462,Regular Breeder_Espèce qui niche régulièrement,-71,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Mountain Plover,Pluvier montagnard,Charadrius montanus,464,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,,,Included_Inclus,,,,
Upland Sandpiper,Maubèche des champs,Bartramia longicauda,468,Regular Breeder_Espèce qui niche régulièrement,35,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,Included_Inclus,,Included_Inclus,,,,
Whimbrel,Courlis corlieu,Numenius phaeopus,470,Regular Breeder_Espèce qui niche régulièrement,-58.7,Decreasing_Diminution,Shorebird Surveys_Inventaires Oiseaux de rivage,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Eskimo Curlew,Courlis esquimau,Numenius borealis,472,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,,Included_Inclus,,,,,
Long-billed Curlew,Courlis à long bec,Numenius americanus,473,Regular Breeder_Espèce qui niche régulièrement,-25.5,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,Included_Inclus,,Included_Inclus,,,,
Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,479,Regular Breeder_Espèce qui niche régulièrement,-72.5,Decreasing_Diminution,Shorebird Surveys_Inventaires Oiseaux de rivage,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Marbled Godwit,Barge marbrée,Limosa fedoa,480,Regular Breeder_Espèce qui niche régulièrement,-51.3,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
